schema_name,table_name,constraint_name,constraint_type,definition
public,role_permissions,role_permissions_role_id_permission_key_key,UNIQUE,"UNIQUE (role_id, permission_key)"
public,roles,roles_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,roles,roles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,roles,roles_company_id_role_name_key,UNIQUE,"UNIQUE (company_id, role_name)"
public,run_sheet_details,run_sheet_details_item_id_fkey,FOREIGN KEY,FOREIGN KEY (item_id) REFERENCES items(id) ON DELETE RESTRICT
public,run_sheet_details,run_sheet_details_runsheet_id_fkey,FOREIGN KEY,FOREIGN KEY (runsheet_id) REFERENCES runsheets(id) ON DELETE CASCADE
public,run_sheet_details,run_sheet_details_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,runsheets,runsheets_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,runsheets,runsheets_deliverer_id_fkey,FOREIGN KEY,FOREIGN KEY (deliverer_id) REFERENCES users(id) ON DELETE SET NULL
public,runsheets,runsheets_driver_id_fkey,FOREIGN KEY,FOREIGN KEY (driver_id) REFERENCES users(id) ON DELETE SET NULL
public,runsheets,runsheets_loader_id_fkey,FOREIGN KEY,FOREIGN KEY (loader_id) REFERENCES users(id) ON DELETE SET NULL
public,runsheets,runsheets_picker_id_fkey,FOREIGN KEY,FOREIGN KEY (picker_id) REFERENCES users(id) ON DELETE SET NULL
public,runsheets,runsheets_return_handler_id_fkey,FOREIGN KEY,FOREIGN KEY (return_handler_id) REFERENCES users(id) ON DELETE SET NULL
public,runsheets,runsheets_vehicle_id_fkey,FOREIGN KEY,FOREIGN KEY (vehicle_id) REFERENCES vehicles(id) ON DELETE SET NULL
public,runsheets,runsheets_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,runsheets,runsheets_company_id_runsheet_code_key,UNIQUE,"UNIQUE (company_id, runsheet_code)"
public,service_complaints,service_complaints_complaint_type_id_fkey,FOREIGN KEY,FOREIGN KEY (complaint_type_id) REFERENCES complaint_types(id)
public,service_complaints,service_complaints_employee_id_fkey,FOREIGN KEY,FOREIGN KEY (employee_id) REFERENCES users(id)
public,service_complaints,service_complaints_liability_id_fkey,FOREIGN KEY,FOREIGN KEY (liability_id) REFERENCES driver_liabilities(id)
public,service_complaints,service_complaints_order_id_fkey,FOREIGN KEY,FOREIGN KEY (order_id) REFERENCES orders(id)
public,service_complaints,service_complaints_reviewed_by_fkey,FOREIGN KEY,FOREIGN KEY (reviewed_by) REFERENCES users(id)
public,service_complaints,service_complaints_runsheet_id_fkey,FOREIGN KEY,FOREIGN KEY (runsheet_id) REFERENCES runsheets(id)
public,service_complaints,service_complaints_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,service_complaints,service_complaints_company_id_complaint_code_key,UNIQUE,"UNIQUE (company_id, complaint_code)"
public,stock_branches,stock_branches_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (branch_id) REFERENCES branches(id) ON DELETE CASCADE
public,stock_branches,stock_branches_item_id_fkey,FOREIGN KEY,FOREIGN KEY (item_id) REFERENCES items(id) ON DELETE CASCADE
public,stock_branches,stock_branches_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,stock_branches,stock_branches_branch_id_item_id_key,UNIQUE,"UNIQUE (branch_id, item_id)"
public,stock_discrepancies,stock_discrepancies_discrepancy_type_check,CHECK,"CHECK (((discrepancy_type)::text = ANY ((ARRAY['surplus'::character varying, 'shortage'::character varying, 'wrong_item'::character varying, 'other'::character varying])::text[])))"
public,stock_discrepancies,stock_discrepancies_status_check,CHECK,"CHECK (((status)::text = ANY ((ARRAY['pending'::character varying, 'investigating'::character varying, 'resolved'::character varying])::text[])))"
public,stock_discrepancies,stock_discrepancies_reported_by_fkey,FOREIGN KEY,FOREIGN KEY (reported_by) REFERENCES users(id)
public,stock_discrepancies,stock_discrepancies_runsheet_id_fkey,FOREIGN KEY,FOREIGN KEY (runsheet_id) REFERENCES runsheets(id) ON DELETE CASCADE
public,stock_discrepancies,stock_discrepancies_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,stock_voucher_details,stock_voucher_details_item_id_fkey,FOREIGN KEY,FOREIGN KEY (item_id) REFERENCES items(id) ON DELETE RESTRICT
public,stock_voucher_details,stock_voucher_details_voucher_id_fkey,FOREIGN KEY,FOREIGN KEY (voucher_id) REFERENCES stock_vouchers(id) ON DELETE CASCADE
public,stock_voucher_details,stock_voucher_details_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,stock_vouchers,stock_vouchers_source_check,CHECK,"CHECK ((source = ANY (ARRAY['Auto'::text, 'Manual'::text])))"
public,stock_vouchers,stock_vouchers_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,stock_vouchers,stock_vouchers_from_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (from_branch_id) REFERENCES branches(id) ON DELETE SET NULL
public,stock_vouchers,stock_vouchers_to_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (to_branch_id) REFERENCES branches(id) ON DELETE SET NULL
public,stock_vouchers,stock_vouchers_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,stock_vouchers,stock_vouchers_company_id_voucher_code_key,UNIQUE,"UNIQUE (company_id, voucher_code)"
public,supplier_ledger,supplier_ledger_supplier_id_fkey,FOREIGN KEY,FOREIGN KEY (supplier_id) REFERENCES suppliers(id) ON DELETE CASCADE
public,supplier_ledger,supplier_ledger_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,suppliers,suppliers_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,suppliers,suppliers_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,suppliers,suppliers_company_id_supplier_code_key,UNIQUE,"UNIQUE (company_id, supplier_code)"
public,treasury,treasury_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,treasury,treasury_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,treasury,treasury_company_id_account_code_key,UNIQUE,"UNIQUE (company_id, account_code)"
public,users,users_auth_id_fkey,FOREIGN KEY,FOREIGN KEY (auth_id) REFERENCES auth.users(id) ON DELETE CASCADE
public,users,users_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,users,users_default_branch_id_fkey,FOREIGN KEY,FOREIGN KEY (default_branch_id) REFERENCES branches(id) ON DELETE SET NULL
public,users,users_role_id_fkey,FOREIGN KEY,FOREIGN KEY (role_id) REFERENCES roles(id) ON DELETE SET NULL
public,users,users_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,users,users_auth_id_key,UNIQUE,UNIQUE (auth_id)
public,users,users_email_key,UNIQUE,UNIQUE (email)
public,vehicle_tracking,vehicle_tracking_driver_id_fkey,FOREIGN KEY,FOREIGN KEY (driver_id) REFERENCES users(id)
public,vehicle_tracking,vehicle_tracking_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,vehicles,vehicles_company_id_fkey,FOREIGN KEY,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
public,vehicles,vehicles_driver_id_fkey,FOREIGN KEY,FOREIGN KEY (driver_id) REFERENCES users(id) ON DELETE SET NULL
public,vehicles,vehicles_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,vehicles,vehicles_company_id_vehicle_code_key,UNIQUE,"UNIQUE (company_id, vehicle_code)"
public,work_order_details,work_order_details_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,work_orders,work_orders_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,work_orders,work_orders_order_code_key,UNIQUE,UNIQUE (order_code)
public,workflow_log,workflow_log_rule_id_fkey,FOREIGN KEY,FOREIGN KEY (rule_id) REFERENCES workflow_rules(id) ON DELETE SET NULL
public,workflow_log,workflow_log_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,workflow_rules,workflow_rules_trigger_event_check,CHECK,"CHECK ((trigger_event = ANY (ARRAY['insert'::text, 'update'::text, 'delete'::text])))"
public,workflow_rules,workflow_rules_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,workflows,workflows_pkey,PRIMARY KEY,PRIMARY KEY (id)
public,workflows,workflows_workflow_code_key,UNIQUE,UNIQUE (workflow_code)
